key,win_front,wf_default,win_back,wb_default,lose_front,lf_default,lose_back,lb_default,name0,balloon0,face0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
common1,default,普1,default,普1,default,負1,default,負1,win_front,a,,完全憑依か\nこれは上手く使わんと\n諸刃の剣じゃな\,,,,,,,,
common2,default,余1,default,余1,default,負1,default,余1,win_front,a,,お前さんのスレイブは儂の\R[狸|スパイ]じゃ\,,,,,,,,
common3,default,普1,default,普1,default,負1,default,負1,win_front,a,,やっぱり儂のスレイブには\nパワーのある\R[妹紅|おまえさん]が\n一番じゃな\,,,,,,,,
reimu1,default,余1,default,普1,default,負1,default,負1,win_front,a,,お前さんは一匹狼じゃからな\n完全憑依が使いこなせないのも\n無理はない\,,,,,,,,
marisa1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,魔法というのは、邪悪なもんじゃ\n人間を続けたければ気を付けろ\,,,,,,,,
ichirin1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,入道とは別に完全憑依するなんて\n虫が良すぎないかい\,,,,,,,,
hijiri1,default,余1,default,普1,default,負1,default,負1,win_front,a,,河童のバザーにお寺関係の\n掘り出し物が出ている\nって聞いたぞい\,,,,,,,,
futo1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,お前さん、随分と現代社会に\n馴染んできたなぁ\,,,,,,,,
miko1,default,普2,default,普1,default,負1,default,負1,win_front,a,,お前さんが完全憑依異変を\n解決すると言うのか\nそれも楽しみじゃな\,,,,,,,,
nitori1,default,余1,default,普1,default,負1,default,負1,win_front,a,,今回ばかりは\n商売に向かない異変じゃろ\,,,,,,,,
koishi1,default,嬉1,default,普1,default,負1,default,余1,win_front,a,,お前さんのスレイブは儂の\R[狸|スパイ]じゃ\nすぐに見失うんで\nそれを防ぐように憑けた奴じゃよ\,,,,,,,,
mamizou1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,なんじゃ？\n儂に化けるなんて誰の仕業じゃ\,,,,,,,,
kokoro1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,仮面の下が能面とは味気ないぞ\n表情トレーニングでも\nやってみないか？\,,,,,,,,
kasen1,default,決1,default,普1,default,負1,default,負1,win_front,a,,お前さん\n本気で呑み比べしようじゃないか\n今度は正々堂々とな\,,,,,,,,
mokou1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,儂ならもっと\nお前を生かせられるぞい\nあ、寿命じゃなくて強さの方な\,,,,,,,,
sinmyoumaru1,default,余1,default,普1,default,負1,default,負1,win_front,a,,あんまりにも小さいんで\n丸呑みしてしまうところじゃった\,,,,,,,,
usami1,default,普1,default,普1,default,負1,default,負1,win_front,a,,……ほう、人工知能とな\nいよいよ人間は妖怪に\nトドメを刺そうという訳か\,,,,,,,,
udonge1,default,余1,default,普1,default,負1,default,負1,win_front,a,,兎は頑張っても化ける事すら\n出来ないのかい\,,,,,,,,
doremy1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,夢の支配者だと？\n俄には信じられん\,,,,,,,,
tenshi1,default,普2,default,普1,default,負1,default,負1,win_front,a,,天人の肉を喰らえば\n無敵になれると\n聞いた事があるぞ\,,,,,,,,
yukari1,default,普1,default,普1,default,負1,default,負1,win_front,a,,形だけの幻想郷の支配者じゃな\,,,,,,,,
jyoon1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,その宝石もブランド品も\n全部イミテーションじゃろ？\nって本物じゃないか！\,,,,,,,,
jyoon2,default,怒1,default,普1,shion,負1,default,負1,win_front,a,,貧乏が伝染る\nそれ以上近寄るんじゃないぞ\,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,n,,,,
