key,win_front,wf_default,win_back,wb_default,lose_front,lf_default,lose_back,lb_default,name0,balloon0,face0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
common1,default,普1,default,普1,default,負1,default,負1,win_front,a,,憑依と言っても\n身体を乗っ取られるという\n感覚とはちょっと違うな\,,,,,,,,
common2,default,普1,default,普1,default,負1,default,負1,win_front,a,,やった勝てたぜ\,,嬉1,a,扱いづらい\R[こいし|おまえ]だけど……\n翻弄役のスレイブとしては\n優秀かもな\,,,,
reimu1,default,余1,default,普1,default,負1,default,負1,win_front,a,,こんな面白い異変も珍しいな\n私が調べてやるよ\,,,,,,,,
reimu2,default,普1,default,普1,default,負1,default,負1,win_front,a,,ところで\,,汗1,a,プリズムリバーのライブって\n何であんなに人気あるんだ？\,,,,,
marisa1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,な、何故私が居るんだ？\,,,,,,,,
ichirin1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,お前は最初からタッグだったな\nそれはハンデだと思っていたが\,,,,,,,,
hijiri1,default,惑1,default,普1,default,負1,default,負1,win_front,a15x3,,着実に檀家を増やしているらしいな\n命蓮寺は博麗神社と比べると\n商売上手だな\,,,,,,,,
futo1,default,余1,default,普1,default,負1,default,負1,win_front,a,,皿洗いのバイトは終わったのか？\,,,,,,,,
miko1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,我が強い奴だから\nお前一人の方が\n強いんじゃないか？\,,,,,,,,
nitori1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,技術者のくせにこんな\n非科学的な異変を利用するとはな\,,,,,,,,
koishi1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,気が付いたら勝っていたぜ\n相変わらずお前は不思議な奴だ\,,,,,,,,
mamizou1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,煙草の火が尻尾に\n着火しそうなのが気になってな\,,,,,,,,
kokoro1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,お前は取り憑くスレイブ側の方が\n似合うと思うぞ\,,,,,,,,
kasen1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,動物達が戸惑っているぜ\n飼い主が完全憑依されて\,,,,,,,,
mokou1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,お前昔にフェニックスに\n憑依されてなかったか？\,,,,,,,,
sinmyoumaru1,default,余1,default,普1,default,負1,default,負1,win_front,a,,小さくてもいっちょ前に\n完全憑依出来るのか\,,,,,,,,
usami1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,その手に持ってる奴\n何か高価そうだな\nヒビは入ってるけど\,,,,,,,,
udonge1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,この完全憑依異変\nもしかして月の技術じゃないよな\,,,,,,,,
doremy1,default,余1,default,普1,default,負1,default,負1,win_front,a,,散髪しない主義なのか？\,,,,,,,,
tenshi1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,何でお前が地上にいるんだよ\,,,,,,,,
yukari1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,最近、お前が出てこなくて\n平和だったのにな\,,,,,,,,
jyoon1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,金遣い荒そうだなー\,,,,,,,,
jyoon2,default,驚2,default,普1,shion,負1,default,負1,win_front,b,,うわー、貧乏神だー\n逃げろー\,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,n,,,,
