key,win_front,wf_default,win_back,wb_default,lose_front,lf_default,lose_back,lb_default,name0,balloon0,face0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
common1,default,余1,default,普1,default,負1,default,負1,win_front,a,,よーし、調査は順調だ！\n完全憑依のエネルギー解析まで\nあと少し！\,,,,,,,
common2,default,惑1,default,普1,default,負1,default,負1,win_front,a,,火と水の組み合わせは\n理想的なタッグかも知れない\n性格的には合いそうもないが……\,,,,,,,
reimu1,default,決1,default,普1,default,負1,default,負1,win_front,a,,異変の解決は\nちょっと待ってくれないか\n今、解析中なんだ\,,,,,,,
marisa1,default,敵1,default,普1,default,負1,default,負1,win_front,a,,ほほう、あんたのその火力は\n自分のスレイブに相応しいな\,,,,,,,
ichirin1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,そういえばお前だけ昔から\nタッグだったな\n何で許されてたんだ？\,,,,,,,
hijiri1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,巫女だけじゃなくて\nあんたも異変調査しているのか\nこりゃ急がないとな\,,,,,,,,
futo1,default,怒1,default,普1,default,負1,default,負1,win_front,a,,お皿が勿体ないな\n今の時代はエコだよ！\nエゴイストだよ！\,,,,,,,,
miko1,default,普2,default,普1,default,負1,default,負1,win_front,a,,巫女だけじゃなくて\nあんたも異変調査しているのか\nこりゃ急がないとな\,,,,,,,,
nitori1,default,嬉1,default,普1,default,嬉1,default,,win_front,a,,よし、シミュレーション完了！\n人工完全憑依も近い！\,,,,,,,
koishi1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,何を考えているのか判らない奴も\n貴重なサンプルだ\,,,,,,,,
mamizou1,default,普2,default,普1,default,負1,default,負1,win_front,a,,喉が渇いたな\nその腰にぶら下げてある奴\nよこせよ\,,,,,,,,
kokoro1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,完全憑依の解明には\nあんたの力が不可欠なんだ\n宜しく頼むよ\,,,,,,,,
kokoro2,default,普2,default,普1,default,負1,default,負1,win_front,a,,感情の共有が起こる原因は……\,,惑1,a,夢の世界が影響している\n可能性があるかもしれん\nだとするとお手上げだな,,,,
kasen1,default,余1,default,普1,default,負1,default,負1,win_front,a,,河童の薬は効くぜ？\n腕に塗ってやろうか？\,,,,,,,,
mokou1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,機械は火気厳禁なんだよ\,,,,,,,
sinmyoumaru1,default,余1,default,普1,default,負1,default,負1,win_front,a,,このバールに割れぬお椀はない！\,,,,,,,,
usami1,default,普1,default,普1,default,負1,default,負1,win_front,a,,その手に持ってる奴\n凄い精密機械だな\n割れてるけど\,,,,,,,,
udonge1,default,怒1,default,普1,default,負1,default,負1,win_front,a,,お前がそんな調子という事は\nこれが月の技術って事は\n無さそうだな\,,,,,,,
doremy1,default,余1,default,普1,default,負1,default,負1,win_front,a,,夢の世界とは驚きだ\nこの世はまだまだ\n不思議で一杯だな\,,,,,,,,
tenshi1,default,普2,default,普1,default,負1,default,負1,win_front,a,,おう、久しぶりに見たな\nまた大暴れしに来たのかい\,,,,,,,,
yukari1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,あんたも人工完全憑依に\n興味があるなんて意外だな\,,,,,,,,
jyoon1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,こちらのバールは\n一流ブランドのバールになります\nコレクションとして如何です？\,,,,,,,,
jyoon2,default,余1,default,普1,default,負1,default,負1,win_front,a,,人から奪った金だと知ってて\nそいつに商品を売りつけるのは\n別に故買ではないよな\,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,n,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,n,,,,
