key,win_front,wf_default,win_back,wb_default,lose_front,lf_default,lose_back,lb_default,name0,balloon0,face0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
common1,default,余1,default,普1,default,負1,default,負1,win_front,a,,多分、私一人でも勝ててたわね\,,,,,,,,
common2,default,惑1,default,普1,default,負1,default,負1,win_front,a,,やだ、この異変は楽しい……\nいやいや解決しないとね\,,,,,,,,
common3,default,普1,default,余1,default,負1,default,負1,win_front,a,,意外と\R[魔理沙|あんた]とコンビを組んで\n戦った事って殆ど無かったけど\,,嬉1,a,練習次第では最強の二人に\nなれるかも？\,,,,
reimu1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,憑依しすぎなのか私が見える……\,,,,,,,,
marisa1,default,決1,default,普1,default,負1,default,負1,win_front,a,,異変解決は私に任せて！\nあんたは大人しく\nスレイブしてれば良いのよ\,,,,,,,,
ichirin1,default,普1,default,普1,default,負1,default,負1,win_front,a,,あんたのスレイブは\nその入道だけじゃなかったの？\,,,,,,,,
hijiri1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,あんたも異変解決の調査\nしてるんだって？\n商売の邪魔よ\,,,,,,,,
futo1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,あんた、どんどん\n馬鹿っぽくなってない？\,,,,,,,,
miko1,default,普2,default,普1,default,負1,default,負1,win_front,a,,そうなのね、貴方も異変解決の\nライバルなのねぇ\,,,,,,,,
nitori1,default,普2,default,普1,default,負1,default,負1,win_front,a,,この異変って、機械的な仕掛けで\n出来ているって事はないかしら\,,,,,,,,
koishi1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,完全憑依の所為なのか\nあんたがハッキリと認識出来るわ\,,,,,,,,
mamizou1,default,普2,default,普1,default,負1,default,負1,win_front,a,,完全憑依だったのか\nただ単に化けただけかと思ったわ\,,,,,,,,
kokoro1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,あれから結構経つけど\n中々表情豊かにならないわねぇ\,,,,,,,,
kasen1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,あんたの腕の怪我って\n治らないの？\,,,,,,,,
mokou1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,そういえば光る竹を見つけた\nという噂を聞いたんだけど……\,,,,,,,,
sinmyoumaru1,default,余1,default,普1,default,負1,default,負1,win_front,a,,あんたに完全憑依した奴は\nそのお椀には入ったままだと\n思ってたのに\,,,,,,,,
usami1,default,普1,default,普1,default,負1,default,負1,win_front,a,,超能力って、手品と何が違うの？\,,,,,,,,
udonge1,default,決1,default,普1,default,負1,default,負1,win_front,a,,奴隷根性が染み付いてて\n上手くスレイブを扱えてない\nみたいね\,,,,,,,,
doremy1,default,余1,default,普1,default,負1,default,負1,win_front,a,,手に持っている\nぷよぷよしてるやつ\nそれ何？\,,,,,,,,
tenshi1,default,普2,default,普1,default,負1,default,負1,win_front,a,,久しぶりね\nまた天界で暴れてたのかしら\,,,,,,,,
tenshi2,default,汗1,default,普1,default,負1,default,負1,win_front,a,,完全憑依ばっかで\nオカルトの存在を\n忘れていたけどさー\,,惑1,a,あんたのオカルト\nマジで何なの？\,,,,
yukari1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,完全憑依異変、マジで厄介ね\,,,,,,,,
jyoon1,default,余1,default,普1,default,負1,default,負1,win_front,a,,お金持ってそうね\n私と何かやらない？\,,,,,,,,
jyoon2,default,普1,default,普1,default,負1,default,負1,win_front,a,,ところでさ\,,汗1,a,あんたらは二人組なのに\n更に完全憑依出来る\nっておかしくない？\,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,n,,,,
