key,win_front,wf_default,win_back,wb_default,lose_front,lf_default,lose_back,lb_default,name0,balloon0,face0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
common1,default,普1,default,普1,default,負1,default,負1,win_front,a,,勝てたぞー\nこの組み合わせに決めようかな\,,,,,,,,
common2,default,惑1,default,普1,default,負1,default,負1,win_front,a,,勝てたけど\n自分がスレイブの方が\n得意かもなー\,,,,,,,,
reimu1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,巫女に勝てれば最強だね！\,,,,,,,,
marisa1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,レーザーなんか\nお椀でガードしちゃえ！\,,,,,,,,
ichirin1,default,余1,default,普1,default,負1,default,負1,win_front,a,,下っ端僧侶なんて\nガンチューにないよ！\,,,,,,,,
hijiri1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,武闘派僧侶に勝った！\n私のコンビ候補に入れようっと\,,,,,,,,
futo1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,頭痛いのか？\n叩き過ぎちゃったかな\,,,,,,,,
miko1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,よーし、こいつに勝てば\nもう最強じゃん？\,,,,,,,,
nitori1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,こいつの水の所為で\nお椀の中がビチョビチョだよ！\,,,,,,,,
koishi1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,地底の妖怪にも勝ったぞー！\nもう地底でも最強！\,,,,,,,,
mamizou1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,狸の大将……はないか\n余り組みたくない奴だなー\,,,,,,,,
kokoro1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,この気持ち悪い妖怪とは\n組みたくないなぁ\,,,,,,,,
kasen1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,仙人に勝った！\n目をついちゃえ！\,,,,,,,,
mokou1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,何かおっかないし\nコンビは組みたくない奴ね\,,,,,,,,
sinmyoumaru1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,偽物だー！　殺せー！\,,,,,,,,
usami1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,こいつと組むと\n言うのも有りなのか……？\n前の事を思うと気が進まないが\,,,,,,,,
udonge1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,何かこいつと組んでも\n強くなれなさそう\,,,,,,,,
doremy1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,夢の世界？\nもしかして、身体が大きい自分に\n会える夢のような世界\T[!?]\,,,,,,,,
tenshi1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,この出鱈目なオーラ！\nこの人こそ\n私のコンビに相応しいかも！\,,,,,,,,
yukari1,default,汗1,default,普1,default,負1,default,負1,win_front,c,,嫌だ嫌だ\nこの不気味な人から早く逃げたい\,,,,,,,,
jyoon1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,直感でわかる\nこいつは近寄らない方が良い奴\,,,,,,,,
jyoon2,default,汗1,default,普1,shion,負1,default,負1,win_front,a,,直感でわかる\nこいつは近寄ってはいけない奴\,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,n,,,,
