key,win_front,wf_default,win_back,wb_default,lose_front,lf_default,lose_back,lb_default,name0,balloon0,face0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
common1,default,決1,default,普1,default,負1,default,負1,win_front,b,,近づくとあぶないぜ！\n今の私は虫の居所が悪いんだ！\,,,,,,,,
common2,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,ひれ伏すが良い！\n地面を這い蹲ってる\n虫けらどもめ！\,,,,,,,,
common3,default,余1,default,普1,shion,負1,default,負1,win_front,a,,二人心を同じくすれば\nその利、金を断つ\nお前達はどうだい？\,,,,,,,,
reimu1,default,余1,default,普1,default,負1,default,負1,win_front,a,,また神社を壊してやろうか？\,,,,,,,,
marisa1,default,普2,default,普1,default,負1,default,負1,win_front,a,,魔法なんて邪悪も邪悪！\n失せろ道を外れた者よ\,,,,,,,,
ichirin1,default,普2,default,普1,default,負1,default,負1,win_front,a,,雲虫が\n雲上の天人に敵うと思うなよ\,,,,,,,,
hijiri1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,悟ったって、天界に来られる訳\nじゃあないのにね\,,,,,,,,
futo1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,お前は仙人なのか\nなら精進せい！\n位無きを\R[患|うれ]えず、所以を患えよ！\,,,,,,,,
miko1,default,普2,default,普1,default,負1,default,負1,win_front,a,,仙人か、お前の考え方は古い！\n智はなお水の如し\n流れざる時は則ち腐るぞ！\,,,,,,,,
nitori1,default,余1,default,普1,default,負1,default,負1,win_front,a,,崖の下に棲む者よ\n哀れよのう！\,,,,,,,,
koishi1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,地底の妖怪？\n地面より下に棲む奴なんて\n地獄に堕ちた奴位じゃないのか？\,,,,,,,,
mamizou1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,ぷぷー狸が化ける、だって\n古典的すぎてウケるー\,,,,,,,,
kokoro1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,感情を奪うのか……\n私の緋想の術に似てるなぁ\,,,,,,,,
kasen1,default,余1,default,普1,default,負1,default,負1,win_front,a15x3,,仙人か、お前は……\n道は近きにあり、而るに遠きに求む\n何か回りくどいことをしていない？\,,,,,,,,
mokou1,default,普2,default,普1,default,負1,default,負1,win_front,a,,どうだ？\n不老不死を堪能しているー？\,,,,,,,,
sinmyoumaru1,default,余1,default,普1,default,負1,default,負1,win_front,a,,小人とは驚いたね\n高貴な方が、地上で遊んでるとは\,,,,,,,,
usami1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,天界より高いところに住んでいる\n人間がいるんだって？\nほほう、打ち落としてやろうか\,,,,,,,,
udonge1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,月の都と縁を切ったんだって？\nそんな勿体ない話あるもんか\,,,,,,,,
doremy1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,夢の世界なんて\nそんなもん表に出てくる\n筈がない\,,,,,,,,
tenshi1,default,怒1,default,普1,default,負1,default,負1,win_front,a,,誰だ？\n私の格好を真似している奴は\,,,,,,,,
yukari1,default,決1,default,普1,default,負1,default,負1,win_front,a,,ふん、地上はボロボロだねぇ\nいい気味だ！\,,,,,,,,
jyoon1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,そんな見せかけのキラキラ\n羨ましくなんて無いね\,,,,,,,,
jyoon2,default,余1,default,普1,shion,負1,default,負1,win_front,a,,貧相だねぇ\nこれぞ私が望む地上の民の姿だ\,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,n,,,,
