key,win_front,wf_default,win_back,wb_default,lose_front,lf_default,lose_back,lb_default,name0,balloon0,face0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
common1,default,普1,default,普1,default,負1,default,負1,win_front,a,,完全憑依かー\nこれも都市伝説異変の影響って\nことよねぇ\,,,,,,,,
common2,default,余1,default,普1,default,負1,default,負1,win_front,a,,ふっふっふ\n私は夢の世界の鈴仙だ\,,嬉1,a,たまに\R[現|うつつ]の世界で暴れるのは\n気持ちいいねぇ\,,,,
reimu1,default,普2,default,普1,default,負1,default,負1,win_front,a,,この異変は私が調べます\n元、月の兎としての負い目も\nありますので\,,,,,,,,
marisa1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,あんたがマスターだったんだ\n見た目からてっきりスレイブかと\,,,,,,,,
ichirin1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,入道は憑依では無く\nリアルスレイブなのねぇ\,,,,,,,,
hijiri1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,僧侶って\n完全憑依みたいな\n胡散臭い力使って良いの？\,,,,,,,,
futo1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,尸解仙とはゾンビの事だって\nお師匠様に教えて貰いましたよ\,,,,,,,,
miko1,default,普2,default,普1,default,負1,default,負1,win_front,a,,貴方も完全憑依異変の調査を\nしているのですね\,,,,,,,,
miko2,default,普2,default,普1,default,負1,default,負1,win_front,a,,サグメ様はですねぇ……\,,汗1,a,月の都の政治的な要人なんですよ\n無口だけど大胆で、ちょっと……\nおっちょこちょいなんですけどね\,,,,
nitori1,default,余1,default,普1,default,負1,default,負1,win_front,a,,そんなオモチャで月の技術に\n勝とうなんて\nちゃんちゃらおかしいわ！\,,,,,,,,
koishi1,default,普2,default,普1,default,負1,default,負1,win_front,a,,その無意識の身のこなし\nみんなには効いているけど\n私の眼には丸見えよ\,,,,,,,,
mamizou1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,まだカチカチ山事件を\n引きずっているんですか？\,,,,,,,,
kokoro1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,いつまでも表情が硬いのは\nお面の妖怪だからって事？\,,,,,,,,
kasen1,default,余1,default,普1,default,負1,default,負1,win_front,a,,動物は操れても\n私は操れないようね！\,,,,,,,,
mokou1,default,普2,default,普1,default,負1,default,負1,win_front,a,,最初に完全憑依を見たのは\n霊夢と貴方が入れ替わった\n時なのよねぇ\,,,,,,,,
sinmyoumaru1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,小人族には失礼無いように\nってお師匠様に言われたんだけど\nま、いっか\,,,,,,,,
usami1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,うさぎカフェ？\n外の世界では兎が\n持て囃されてるんですか？\,,,,,,,,
udonge1,default,決1,default,普1,default,負1,default,負1,win_front,a,,見つけたぞー！\n偽物だー！\,,,,,,,,
udonge2,default,余1,default,普1,default,負1,default,負1,win_front,a,,ふっふっふ\n私こそが本物だー！\,,,,,,,,
doremy1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,なんで、\R[貴方|バク]が幻想郷に……\T[!?]\,,,,,,,,
tenshi1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,お久しぶりね\n余り会いたくなかったけど\,,,,,,,,
yukari1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,貴方が出てきたって事は\nこの異変も貴方がらみなのね\,,,,,,,,
jyoon1,default,余1,default,普1,default,負1,default,負1,win_front,a,,いくら豪勢に着飾ったって\n下賤さが滲み出ているわ！\,,,,,,,,
jyoon2,default,汗1,default,普1,shion,負1,default,負1,win_front,a,,頼むから\nうちに来ないで下さいね……\,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,n,,,,
