key,win_front,wf_default,win_back,wb_default,lose_front,lf_default,lose_back,lb_default,name0,balloon0,face0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
common1,default,普1,default,普1,default,負1,default,負1,win_front,a,,完全憑依異変は\n面倒なことになっているわね\,,,,,,,,
reimu1,default,余1,default,普1,default,負1,default,負1,win_front,a,,この異変\n貴方に解決出来るかしら\,,,,,,,,
marisa1,default,普2,default,普1,default,負1,default,負1,win_front,a,,貴方、人間を超えたいと\n思ってない？\,,,,,,,,
ichirin1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,貴方は妖怪と\n人間の境界が\n曖昧なのよね\,,,,,,,,
hijiri1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,命蓮寺は博麗神社と\n同じポジションを\n狙ってるのかしら？\,,,,,,,,
futo1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,勝運が上がる色は何色かしら？\n身に付けちゃおうかなー\,,,,,,,,
miko1,default,普2,default,普1,default,負1,default,負1,win_front,a,,ご苦労様\n支持者集めは上手く\nいっているかしら\,,,,,,,,
nitori1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,人工で完全憑依？\n是非仕組みを教えて欲しいわ\,,,,,,,,
koishi1,default,普2,default,普1,default,負1,default,負1,win_front,a,,お姉ちゃんが心配してたわよ？\n貴方が自由すぎて\,,,,,,,,
mamizou1,default,余1,default,普1,default,負1,default,負1,win_front,a,,佐渡の狸が荒れてるみたいよ？\n故郷に戻った方が\n良いんじゃない？\,,,,,,,,
kokoro1,default,普1,default,普1,default,負1,default,負1,win_front,a,,貴方の能楽は感情を動かし\n過ぎるかも知れないわ\,,,,,,,,
kasen1,default,余1,default,普1,default,負1,default,負1,win_front,a,,仙人活動頑張ってるわねぇ\,,,,,,,,
kasen2,default,余1,default,普1,default,負1,default,負1,win_front,a,,ところで\,,普2,a,自主的に菫子の監視を\nしてくれてるのね\n貴方にしては珍しいわね,,,,
mokou1,default,普2,default,普1,default,負1,default,負1,win_front,a,,臨死体験してみる？\n生と死の境界を越えて\,,,,,,,,
sinmyoumaru1,default,普1,default,普1,default,負1,default,負1,win_front,a,,逆さに浮いている城は\nいつ落城させるのかしら\,,,,,,,,
usami1,default,余1,default,普1,default,負1,default,負1,win_front,a,,幻想郷へようこそ\n楽しんでいってね\,,,,,,,,
udonge1,default,普1,default,普1,default,負1,default,負1,win_front,a,,月の兎を辞めたのね\n改めて、幻想郷へようこそ\,,,,,,,,
doremy1,default,決1,default,普1,default,負1,default,負1,win_front,a,,夢の支配者……？\n貴方は夢を喰う怪物でしょう？\,,,,,,,,
tenshi1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,天界を追放されたんだってね\n馬鹿なことしたねぇ\,,,,,,,,
yukari1,default,余1,default,普1,default,負1,default,負1,win_front,a,,夢の私、か\n可哀想ね、狭い世界で\,,,,,,,,
jyoon1,default,決1,default,普1,default,負1,default,負1,win_front,a,,卑怯な手を使われなければ\n決して負けることはない！\,,,,,,,,
jyoon2,default,嬉1,default,普1,shion,負1,default,負1,win_front,a,,おめでとう\n貴方は幻想郷一の嫌われ者ね\,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,n,,,,
