exit,再開する,Exit,,,,,,,,,,
position,位置,Position,,,,,,,,,,
life,体力,Life,,,,,,,,,,
mp,霊力,Mana,,,,,,,,,,
op,怪奇,Occult,,,,,,,,,,
guard,ガード,Guard,,,,,,,,,,
sp,スペル,Spell,,,,,,,,,,
master,マスター,Master,,,,,,,,,,
slave,スレイブ,Slave,,,,,,,,,,
reset,リセット,Reset,,,,,,,,,,
ret_select,キャラクターセレクトへ戻る,Return to Character Select,,,,,,,,,,
ret_title,タイトルへ戻る,Return to Title,,,,,,,,,,
hide,メニューを消す,Hide Menu,,,,,,,,,,
config,コンフィグ,Config,,,,,,,,,,
player2,2P動作,2P Action,通常,neutral,上移動,up,下移動,down,COM,COM,2P操作,2P Input
difficulty,COM難易度,COM Difficulty,Easy,Easy,Normal,Normal,Hard,Hard,Lunatic,Lunatic,,
counter_mode,カウンターヒット,Counter Hit,しない,disable,する,enable,ランダム,Random,,,,
guard_mode,ガード,Guard,しない,disable,する,enable,ランダム,Random,1回のみ,Once,,
ex_guard_mode,結界ガード,Ex Guard,しない,disable,する,enable,,,,,,
recover_mode,復帰,Recover,しない,disable,前方向,front,後方向,back,ランダム,random,,
