key,win_front,wf_default,win_back,wb_default,lose_front,lf_default,lose_back,lb_default,name0,balloon0,face0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
common1,default,普1,default,普1,default,負1,default,負1,win_front,a,,夢の世界では\n欲望がそのまま現れる事が\nよくあります\,,,,,,,,
common2,default,余1,default,普1,default,負1,default,負1,win_front,a,,私の手帖は夢日記\n全ての人の夢が記録されています\,,,,,,,,
reimu1,default,普2,default,普1,default,負1,default,負1,win_front,a,,夢の世界の貴方は\nいつものんびりしているわよ\n少し休んだら？\,,,,,,,,
reimu2,default,普2,default,普1,default,負1,default,負1,win_front,a,,この間はどうも\,,嬉1,a,月の民はみんな元に\n帰っていきましたよ\,,,,
marisa1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,夢の世界の貴方は\n超人的な行動や発言が多いです\nもしかして妖怪に憧れがあるの？\,,,,,,,,
ichirin1,default,普2,default,普1,default,負1,default,負1,win_front,a,,夢の世界では\n貴方はお寺の\R[阿闍梨|えらいひと]になっている\n事が多いわね。判りやすいわ\,,,,,,,,
hijiri1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,貴方は夢の世界と現の世界が\nさほど乖離してないですね\nそれも修業の成果かな？\,,,,,,,,
futo1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,夢の世界の貴方は\n指導者になっている事が多いわ\n憧れている人がいるようね\,,,,,,,,
miko1,default,普2,default,普1,default,負1,default,負1,win_front,a15x3,,貴方は世界を監視して支配する夢を\nよく見てるね。本当は排他的に\n幻想郷を管理したいんでしょ？\,,,,,,,,
nitori1,default,余1,default,普1,default,負1,default,負1,win_front,a,,貴方は寝ても覚めても\n機械を弄ってるわね\nこういう単純な奴居るわー\,,,,,,,,
koishi1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,あれ？\n貴方は夢を見ないのかな？\nこころがスカスカですね……\,,,,,,,,
mamizou1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,夢の世界では貴方は\n人間達に怯えているようね\n外の人間を恐れているのかな\,,,,,,,,
kokoro1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,貴方は夢の中では暴れん坊で\n厄介者なのよねぇ\n感情が暴走してるのかな\,,,,,,,,
kasen1,default,余1,default,普1,default,負1,default,負1,win_front,a,,夢の世界では貴方は\n平穏で美しい世界でのんびりと\n暮らしているわ。意外ね\,,,,,,,,
mokou1,default,普2,default,普1,default,負1,default,負1,win_front,a,,貴方は大きい夢を見るのを\n辞めたのかしら？\n夢の世界の貴方はいつも静かだわ\,,,,,,,,
sinmyoumaru1,default,余1,default,普1,default,負1,default,負1,win_front,a,,夢の世界では貴方は\nよく巨人になっているわね\nコンプレックスが強すぎるわ\,,,,,,,,
usami1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,貴方は特殊な人間です\n精神が夢の世界の住人と相互に\n行き来しています\,,,,,,,,
udonge1,default,普1,default,普1,default,負1,default,負1,win_front,a,,お久しぶりね\nこの間の夢の通路ではどうも\n元気にやってるみたいねぇ\,,,,,,,,
doremy1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,暴走した夢の世界の住人を\n監視しないとね\,,,,,,,,
tenshi1,default,決1,default,普1,default,負1,default,負1,win_front,a,,出たな、自由すぎる厄介者め\nこんな純粋な精神は赤子レベルね\,,,,,,,,
yukari1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,貴方は普段からよく夢の世界に\n潜んでいるわね……\,,,,,,,,
jyoon1,default,余1,default,普1,default,負1,default,負1,win_front,a,,貴方は本当は慎ましく\n質素に暮らしたいのね\,,,,,,,,
jyoon2,default,惑1,default,普1,shion,負1,default,負1,win_front,a,,いつもお腹いっぱい食べる夢\nばっかり見ているわねぇ\,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,n,,,,
