key,win_front,wf_default,win_back,wb_default,lose_front,lf_default,lose_back,lb_default,name0,balloon0,face0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
common1,default,普1,default,普1,default,負1,default,負1,win_front,a,,まだまだ精進が足りないわ\,,,,,,,,
common2,default,驚1,default,普1,default,負1,default,負1,win_front,a,,あら私も\R[妹紅|スレイブ]も肉体強化系だわ\,,普2,a,\R[妹紅|あなた]とのコンビも\nイケイケで悪くないかも\,,,,
reimu1,default,余1,default,普1,default,負1,default,負1,win_front,a,,今回こそは私が異変解決するわよ\,,,,,,,,
marisa1,default,普1,default,普1,default,負1,default,負1,win_front,a,,お寺で修業します？\n強くなると思うわ\,,,,,,,,
ichirin1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,はい、今日の試合はおしまい\n貴方は洗濯して炊事をお願いね\,,,,,,,,
ichirin2,default,普1,default,普1,default,負1,default,負1,win_front,a,,練習相手はもっと強い方が良いわ\,,余1,a,ぬえは何処に行ったか知らない？\,,,,
hijiri1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,私がもう一人……？\nこれも異変の影響かしら\,,,,,,,,
futo1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,貴方、どうもうちの一輪と\n遊んでばかりいるようね\,,,,,,,,
miko1,default,普2,default,普1,default,負1,default,負1,win_front,a,,今回は一緒に頑張って\n完全憑依異変を解決しましょう\,,,,,,,,
nitori1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,尻子玉の代わりになる\nお団子を作りましたよ\,,,,,,,,
koishi1,default,普2,default,普1,default,負1,default,負1,win_front,a,,たまにお姉さんが\n貴方を探しに\nお寺に来ているわよ\,,,,,,,,
mamizou1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,茂林寺の茶釜っていう代物が\nバザーに出ていたみたいだけど\,,,,,,,,
kokoro1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,まだ表情が硬いわねぇ\,,,,,,,,
kasen1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,仙人といっても、色々居るのねぇ\,,,,,,,,
mokou1,default,普1,default,普1,default,負1,default,負1,win_front,a,,いきいきとしているようで\nまあ良かったのかな？\,,,,,,,,
sinmyoumaru1,default,余1,default,普1,default,負1,default,負1,win_front,a,,あらあら勿体ない\nお椀が欠けちゃったわね\,,,,,,,,
usami1,default,普1,default,普1,default,負1,default,負1,win_front,a,,外来人も完全憑依するのですねぇ\,,,,,,,,
udonge1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,稀神サグメって言うのね\n都市伝説異変の犯人は\,,,,,,,,
doremy1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,夢の世界……？\n心の世界と言う事なのかな？\,,,,,,,,
tenshi1,default,普2,default,普1,default,負1,default,負1,win_front,a,,天人様でしたか\n思ったより俗っぽいですね\,,,,,,,,
yukari1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,あっちに行ったり\nこっちに行ったり\n派手な戦い方ですね\,,,,,,,,
jyoon1,default,余1,default,普1,default,負1,default,負1,win_front,a,,質素な生活も良い物ですよ\,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,n,,,,
