key,win_front,wf_default,win_back,wb_default,lose_front,lf_default,lose_back,lb_default,name0,balloon0,face0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
common1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,あら、お金をくれるのね\nありがとー！\,,,,,,,,
common2,shion,惑1,default,普1,default,負1,default,負1,win_front,a,,何か恵んでよー\nひもじいよー\,,,,,,,,
common3,shion,決1,default,普1,default,負1,default,負1,win_front,a,,恵んでくれなきゃ\nキングビンボーになっちゃうぞ\,,,,,,,,
common4,default,余1,default,普1,default,負1,default,負1,win_front,a,,放って置いても\n課金してくれるんだから\nちょろいもんよ\,,,,,,,,
reimu1,shion,嬉1,default,普1,default,負1,default,負1,win_front,a,,貴方の近くにいると\n貧乏も悪く無いかなーって\n思っちゃう\,,,,,,,,
marisa1,default,余1,default,普1,default,負1,default,負1,win_front,a,,おや、金になりそうなブツも\n持っているみたいね\nちょーだい\,,,,,,,,
ichirin1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,僧侶は貧乏くさいから嫌い\,,,,,,,,
hijiri1,shion,決1,default,普1,default,負1,default,負1,win_front,a,,ほらこれ\n坊さんスタイルでしょ？\nお布施してよ\,,,,,,,,
futo1,shion,惑1,default,普1,default,負1,default,負1,win_front,a,,私が取り憑いたら\nお皿も買えなくなるわよ\,,,,,,,,
miko1,default,普2,default,普1,default,負1,default,負1,win_front,a,,ねーねー、何か頂戴ー\n道場派手だし\n儲かってるんでしょー？\,,,,,,,,
nitori1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,チンケな商売する奴ね\n何か私に通じる物を感じるわ\,,,,,,,,
koishi1,shion,驚1,default,普1,default,負1,default,負1,win_front,a,,貧乏になっても\n気にしなそうな奴ねぇ\,,,,,,,,
mamizou1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,こいつ、偽札使いだー！\,,,,,,,,
kokoro1,default,普2,default,普1,default,負1,default,負1,win_front,a,,感情は金銭感覚に直結するわ\n私と組まない？\,,,,,,,,
kasen1,shion,余1,default,普1,default,負1,default,負1,win_front,a,,こいつ、意外と\nお金を貯め込んでるよ\n俗っぽいね\,,,,,,,,
mokou1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,貧乏くさい奴は嫌だわ\,,,,,,,,
sinmyoumaru1,shion,驚1,default,普1,default,負1,default,負1,win_front,a,,打ち出の小槌\T[!?]\nそれさえあれば大金持ちよ\nゴールドラッシュよ！\,,,,,,,,
usami1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,ええ？\n私の服もカバンも偽ブランド\T[!?]\nそんな馬鹿な\,,,,,,,,
udonge1,default,余1,default,普1,default,負1,default,負1,win_front,a,,薬売りって儲かるよね\n困った人からお金を\n巻き上げる商売だもんね\,,,,,,,,
doremy1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,夢の世界に手を出すなって？\nそんなの初耳よ\,,,,,,,,
tenshi1,shion,決1,default,普1,default,負1,default,負1,win_front,a,,こいつは……私の力が\n通用してるのかしら？\,,,,,,,,
yukari1,default,決1,default,普1,default,負1,default,負1,win_front,a,,金持ちそうだー！\n根こそぎ奪えー！\,,,,,,,,
jyoon1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,私がもう一人\T[!?]\nそんな馬鹿な\,,,,,,,,
jyoon2,shion,驚1,default,普1,shion,負1,default,負1,win_front,a,,もしかして、夢の世界の私……？\,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,n,,,,
