key,win_front,wf_default,win_back,wb_default,lose_front,lf_default,lose_back,lb_default,name0,balloon0,face0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
common1,default,普1,default,普1,default,負1,default,負1,win_front,a,,次は貴方に憑依してみようかなー\,,,,,,,,
common2,default,驚1,default,普1,default,負1,default,負1,win_front,a,,\R[鈴仙|あなた]って意外と\n私と同じような能力を\n持っているのね\,,嬉1,a,良いコンビになるかも？,,,,
reimu1,default,余1,default,普1,default,負1,default,負1,win_front,a,,完全憑依って異変なんだね\nでも楽しいから解決しなくても\n良いんじゃない？\,,,,,,,,
marisa1,default,普1,default,普1,default,負1,default,負1,win_front,a,,もしもーし、魔法使ってますかー\,,,,,,,,
ichirin1,default,余1,default,普1,default,負1,default,負1,win_front,a,,修業してるのいつも見てるよー\nお茶飲んでひなたぼっこするのが\n命蓮寺の修業なんだね\,,,,,,,,
hijiri1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,しつもーん\n僧侶が言う悟りと\nお姉ちゃんと何が違うんですか？\,,,,,,,,
futo1,default,普2,default,普1,default,負1,default,負1,win_front,a,,風水的には地底って\nどうなんでしょ\,,,,,,,,
miko1,default,普1,default,普1,default,負1,default,負1,win_front,a,,お姉ちゃんが会いたがってたわ\n偉そうにしている奴の\n心の内を知りたいって\,,,,,,,,
nitori1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,胸に付いている鍵って、何なの？\,,,,,,,,
koishi1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,私に勝っちゃったー\,,,,,,,,
mamizou1,default,余1,default,普1,default,負1,default,負1,win_front,a,,そのキセルの灰を捨てるときに\n絶対、尻尾を焦がしたことある\nでしょー\,,,,,,,,
kokoro1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,負けて嬉しいなら\n笑えば良いのにー\,,,,,,,,
kasen1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,お姉ちゃんも動物ばっかに\n好かれるけど\n貴方も人間嫌いとかそれ系？\,,,,,,,,
mokou1,default,余1,default,普1,default,負1,default,負1,win_front,a,,本当に死なないのか\n試してみたいー！\,,,,,,,,
sinmyoumaru1,default,余1,default,普1,default,負1,default,負1,win_front,a,,一寸より大きくない？\nあ、心の大きさが一寸なのか\,,,,,,,,
usami1,default,普1,default,普1,default,負1,default,負1,win_front,a,,スプーン曲げられるんだってー？\n何か凄いような\nそうでも無いような\,,,,,,,,
udonge1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,兎って、孤独になると\n死ぬんでしょ？\n良かったね、完全憑依があって\,,,,,,,,
doremy1,default,余1,default,普1,default,負1,default,負1,win_front,a,,帽子を特注する前に\n髪を切れば良いのに\,,,,,,,,
tenshi1,default,普2,default,普1,default,負1,default,負1,win_front,a,,地上と月の間に天界があったのね\n今度行ってみよーっと\,,,,,,,,
yukari1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,ごめんねー\n問題なく勝っちゃって\,,,,,,,,
yukari2,default,普1,default,普1,default,負1,default,負1,win_front,a,,お姉ちゃんが言ってたんだけどね\,,決1,a,これから地上が慌ただしくなる\n予感がするってさ\n権力争いが激化するのかな\,,,,
jyoon1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,ああ、無意識の内に\nついつい課金してしまう\,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,n,,,,
