key,win_front,wf_default,win_back,wb_default,lose_front,lf_default,lose_back,lb_default,name0,balloon0,face0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
common1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,うわーい\n戦えるの楽しーわー！\,,,,,,,,
common2,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,私は夢の世界の秦こころ\n\R[現|うつつ]の世界で暴れるの\n楽しみにしてたんだ\,,,,,,,,
reimu1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,ねえねえ、神社で能やりたいわー\nまた呼んでよー\,,,,,,,,
marisa1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,改めてみると\n魔法の星空綺麗だわー！\,,,,,,,,
ichirin1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,入道さん\n大きいなぁ、見越せないなぁ\,,,,,,,,
hijiri1,default,普1,default,普1,default,負1,default,負1,win_front,a,,凄いっすね\n呪文で強くなれるなんて\n憧れますわー\,,,,,,,,
futo1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,帽子が重いのですかー？\,,,,,,,,
miko1,default,普1,default,普1,default,負1,default,負1,win_front,a,,最近、感情が溢れ出る様になって\nちょっとした事で感動するのー\n毎日が楽しいですわー！\,,,,,,,,
nitori1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,戦闘はまだまだですが\n商売は上手ですねー！\n見習いたいです\,,,,,,,,
koishi1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,負けても楽しそうな笑顔\n素敵ですー！\,,,,,,,,
mamizou1,default,普2,default,普1,default,負1,default,負1,win_front,a,,酒に煙草をやりながら戦闘ですか\n大人ですねー！\,,,,,,,,
kokoro1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,ん？　私がもう一人？\nこういう時はどういう\n表情をすれば良かったんだっけ？\,,,,,,,,
kasen1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,動物って可愛いです！\n無口で、表情もよく判らなくて\,,,,,,,,
mokou1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,死ねないのって凄い事ですよね！\,,,,,,,,
sinmyoumaru1,default,余1,default,普1,default,負1,default,負1,win_front,a,,私もお椀の中に入ってみたい！\n私がスレイブになりたいわー\,,,,,,,,
usami1,default,驚1,default,普1,default,負1,default,負1,win_front,a15x2,,そのマントの裏地、派手ですねー！\,,,,,,,,
udonge1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,手に持っているそれ\n大きなラッパですか？\nいい音がしそうですねー\,,,,,,,,
doremy1,default,余1,default,普1,default,負1,default,負1,win_front,a,,夢の世界って\nなんで感情が何倍にも\n膨れ上がるんでしょうねぇ\,,,,,,,,
doremy2,default,普1,default,普1,default,負1,default,負1,win_front,a,,あれ？\n貴方は何処かで\n会っていたはず……\,,汗1,a,ああ、そうだった\n私は夢の世界の\n秦こころだったのを忘れてた\,,,,
tenshi1,default,普2,default,普1,default,負1,default,負1,win_front,a,,そこまで自信満々だと\nこっちも気持ちよくなりますー\,,,,,,,,
yukari1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,その空間の切れ目の向こう側\n恐ろしいけど見てみたい……\,,,,,,,,
jyoon1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,うわー、お金持ちそう！\n私にも奢って奢ってー\,,,,,,,,
jyoon2,default,驚1,default,普1,shion,負1,default,負1,win_front,a,,うわー、貧しそう！\nお金持ちっぽい妹さんから\nお金を貸して貰ったら？\,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,n,,,,
