key,win_front,wf_default,win_back,wb_default,lose_front,lf_default,lose_back,lb_default,name0,balloon0,face0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
common1,default,普1,default,普1,default,負1,default,負1,win_front,a,,我のスレイブになりたくなったら\nいつでも言うがいい！\,,,,,,,,
common2,default,普1,default,普1,default,負1,default,負1,win_front,a,,仙人コンビというのも悪くない\,,決2,a,見た目は違えど\n根本にある仙術は\n同じだから相性が良いな\,,,,
reimu1,default,余1,default,普1,default,負1,default,負1,win_front,a,,完全憑依異変は私が解決する！\,,,,,,,,
marisa1,default,普1,default,普1,default,負1,default,負1,win_front,a,,前々からお前は見所のある奴だと\n思っていた、どうだ？\n私のスレイブにならないか？\,,,,,,,,
ichirin1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,入道に頼りっきりだな\n私の元で修業すれば\n強くなると思うんだが、どうだ？\,,,,,,,,
hijiri1,default,惑1,default,普1,default,負1,default,負1,win_front,c,,正直言って\nこの異変の解決は困難を\n極めると思う\,,,,,,,,
futo1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,お前、最近、どんどん俗っぽく\nなってるような\,,,,,,,,
miko1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,むむ、何故私と戦っているんだ？\,,,,,,,,
miko2,default,驚1,default,普1,default,負1,default,負1,win_front,a,,こいつがもしかして……\,,普2,a,最近噂になっている\n夢の世界の自分と言う奴なのか\,,,,
nitori1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,機械的に完全憑依を\n解析できるだと\T[!?]\,,,,,,,,
koishi1,default,余1,default,普1,default,負1,default,負1,win_front,a,,望むのならその三番目の瞳\n開眼させてやろうか？\,,,,,,,,
mamizou1,default,普2,default,普1,default,負1,default,負1,win_front,a,,お前も口が達者の様だが\n実力が伴っていないところが\n私と違うところだな\,,,,,,,,
kokoro1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,お前はすぐに\nお面を壊してしまうな\,,,,,,,,
kasen1,default,普1,default,普1,default,負1,default,負1,win_front,a,,お前は不思議な奴だ\n仙人なのに常人に近い\nオーラを出す必要が何処にある？\,,,,,,,,
mokou1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,不老不死なら\nもっと賢く生きられそうな\n気がするが\,,,,,,,,
sinmyoumaru1,default,余1,default,普1,default,負1,default,負1,win_front,a,,私の元で鍛え直してみないか？\nお前は身体以上の能力を\n持っているぞ\,,,,,,,,
usami1,default,普1,default,普1,default,負1,default,負1,win_front,a,,ほう、私の生きた時代は\n飛鳥時代と言うのか\n中々良い響きだ\,,,,,,,,
udonge1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,月の民とは\nいつか決着を着けねばならぬな\,,,,,,,,
udonge2,default,惑1,default,普1,default,負1,default,負1,win_front,a,,そうだ、この完全憑依異変も\n都市伝説異変の影響だったな\,,決1,a,稀神サグメという奴について\n知っている事を教えよ\,,,,
doremy1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,夢の世界という物が\n本当に存在するとはな\,,,,,,,,
tenshi1,default,普2,default,普1,default,負1,default,負1,win_front,a,,天人ならば答えて欲しい\n私が天界に行くには\n後は何が必要だ？\,,,,,,,,
yukari1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,完全憑依異変について\n何か情報を握っているようだな\,,,,,,,,
jyoon1,default,余1,default,普1,default,負1,default,負1,win_front,a,,悔しいがよく判っているな\n人間というのは派手な奴に\nつい貢いでしまうもんだ\,,,,,,,,
jyoon2,default,決1,default,普1,shion,負1,default,負1,win_front,a,,貧しさは判断を誤らせる\n僅かだが恵んでやろう\,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,n,,,,
