key,win_front,wf_default,win_back,wb_default,lose_front,lf_default,lose_back,lb_default,name0,balloon0,face0,message0,name1,face1,balloon1,message1,name2,face2,balloon2,message2
type,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
common1,default,普1,default,普1,default,負1,default,負1,win_front,a,,幻想郷が変な事になっているわね\n楽しいけどさ\,,,,,,,,
reimu1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,えー？　御朱印やってないのー？\nそんなんじゃ人気でないよ？\,,,,,,,,
marisa1,default,普2,default,普1,default,負1,default,負1,win_front,a,,一周まわって\n箒で飛ぶ魔法使いも新鮮かもね\,,,,,,,,
ichirin1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,プチ妖怪ブームもあったけど\n入道はからっきしだったわね\,,,,,,,,
hijiri1,default,普2,default,普1,default,負1,default,負1,win_front,a,,今や法事だって\nアマゾンの時代よ？\nお寺も変化しないと滅びるわ\,,,,,,,,
futo1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,お皿を回す人を\n見なくなったわねぇ\n昔は正月によく見た気がするけど\,,,,,,,,
miko1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,そのヘッドホン\nメーカーは何処ですか？\,,,,,,,,
nitori1,default,余1,default,普1,default,負1,default,負1,win_front,a,,ぷぷっ\n今どき河童って無いわよね\nどうしても笑っちゃう\,,,,,,,,
koishi1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,地底にもお邪魔しましたよ\nいやー幻想郷は奥が深い\,,,,,,,,
mamizou1,default,普2,default,普1,default,負1,default,負1,win_front,a,,都市部でも、意外と狸って\nいるんですよ\n本当に化けてたりして\,,,,,,,,
kokoro1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,秦、秦氏、秦……\nうーん、日本史で聞いたような\n期末テストに出るかなぁ\,,,,,,,,
kasen1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,カセンちゃんに勝っちゃった\n今度は何処に連れて行って\n貰おうかな\,,,,,,,,
kasen2,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,カセンちゃんに勝っちゃった\,,普1,a,魔法の森ってところには\n入ったことないなぁ\n今度案内してよ\,,,,
mokou1,default,決1,default,普1,default,負1,default,負1,win_front,a,,相変わらず強いわね！\nでも、私も負けられないわよ！\,,,,,,,,
sinmyoumaru1,default,嬉1,default,普1,default,負1,default,負1,win_front,a,,捕まえたー！\nこれどうにかして\n外の世界に連れ出せないかなぁ\,,,,,,,,
usami1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,ドッペルゲンガー？\nいや、何か変ねぇ\,,,,,,,,
udonge1,default,惑1,default,普1,default,負1,default,負1,win_front,a,,月の都って場所もあるんだってね\nこっちの世界の地理は\n一体どうなってるのかしら\,,,,,,,,
doremy1,default,余1,default,普1,default,負1,default,負1,win_front,a,,私の夢の世界って\n幻想郷の事だよね？\,,,,,,,,
tenshi1,default,普2,default,普1,default,負1,default,負1,win_front,a,,仙人の上に\n天人ってのも居たのね\,,,,,,,,
yukari1,default,驚1,default,普1,default,負1,default,負1,win_front,a,,その裂け目は何？\n空間が斬れてるの？\,,,,,,,,
jyoon1,default,汗1,default,普1,default,負1,default,負1,win_front,a,,自分の財力以上に\nついつい課金してしまう能力？\n疫病神ってそういう奴なの？\,,,,,,,,
jyoon2,default,汗1,default,普1,shion,負1,default,負1,win_front,a,,うわぁ、貧乏神だー\nあっちいけカードとか\nあったら良いな\,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,n,,,,
