return [//,,,,,,,
//dummy,base_x,base_y,width_x,width_x,center_x,center_y,
[0,0,0,0,0,0,0],
[1,0,280,8,8,4,4],//DT_PARTICLE_OIL 石油粒子
[2,8,280,16,8,12,4],//DT_DROP_OIL 石油水滴
[3,0,288,32,48,0,24],//DT_SPLASH_WATER_A 水飛沫　一方向
[4,24,280,8,8,4,4],//DT_PARTICLE_OIL_B 石油粒子黒
[5,32,280,16,8,12,4],//DT_DROP_OIL_B 石油水滴　黒
[6,48,280,8,8,4,4],//DT_PARTICLE_WATER　水粒子
[7,56,280,16,8,12,4],//DT_DROP_WATER　水滴
[8,96,280,8,8,4,4],//DT_PARTICLE_BLOOD 血粒子
[9,104,280,16,8,12,4],//DT_DROP_BLOOD 血滴
[10,64,288,32,48,0,24],//DT_SPLASH_OIL 油飛沫　一方向
[11,32,288,32,48,0,24],//DT_SPLASH_OIL_B 黒油飛沫　一方向
[12,96,288,32,48,0,24],//DT_SPLASH_POISON　毒しぶき　一方向
[13,128,288,32,48,0,24],//DT_SPLASH_BLOOD 血飛沫　一方向
[14,0,336,64,64,32,32],//DT_BLAST_WATER 水しぶき　全方位拡散
[15,64,336,64,64,32,32],//DT_BLAST_OIL_B 黒油しぶき　全方位拡散
[16,128,336,64,64,32,32],//DT_BLAST_OIL 茶油しぶき　全方位拡散
[17,192,336,64,64,32,32],//DT_BLAST_POISON　毒しぶき　全方位拡散
[18,256,336,64,64,32,32],//DT_BLAST_BLOOD 血しぶき　全方位拡散
[19,0,248,32,32,16,16],//DT_MID_BUBBLE_WATER 水泡弾中サイズ
[20,32,248,32,32,16,16],//DT_MID_BUBBLE_OIL_B 黒油泡弾中サイズ
[21,64,248,32,32,16,16],//DT_MID_BUBBLE_OIL 茶油泡弾中サイズ
[22,96,248,32,32,16,16],//DT_MID_BUBBLE_POISON 毒泡弾中サイズ
[23,128,248,32,32,16,16],//DT_MID_BUBBLE_BLOOD 血泡弾中サイズ
[24,224,248,32,32,16,16],//DT_MID_BUBBLE_WATER2 水泡弾中ハイライト
[25,256,248,32,32,16,16],//DT_MID_BUBBLE_OIL_B2 黒油泡弾中ハイライト
[26,288,248,32,32,16,16],//DT_MID_BUBBLE_OIL2 茶油泡弾中ハイライト
[27,320,248,32,32,16,16],//DT_MID_BUBBLE_POISON2 毒泡弾中ハイライト
[28,352,248,32,32,16,16],//DT_MID_BUBBLE_BLOOD2 血泡弾中ハイライト
[29,0,400,64,64,32,32],//DT_BIG_BUBBLE_WATER 水泡弾大サイズ
[30,64,400,64,64,32,32],//DT_BIG_BUBBLE_OIL_B 黒油泡弾大サイズ
[31,128,400,64,64,32,32],//DT_BIG_BUBBLE_OIL 茶油泡弾大サイズ
[32,192,400,64,64,32,32],//DT_BIG_BUBBLE_POISON　毒泡弾大サイズ
[33,256,400,64,64,32,32],//DT_BIG_BUBBLE_BLOOD　血泡弾大サイズ
[34,0,464,64,48,32,32],//DT_BIG_BUBBLE_WATER2 水泡弾大ハイライト
[35,64,464,64,48,32,32],//DT_BIG_BUBBLE_OIL_B2 黒油泡弾大ハイライト
[36,128,464,64,48,32,32],//DT_BIG_BUBBLE_OIL2 茶油泡弾大ハイライト
[37,192,464,64,48,32,32],//DT_BIG_BUBBLE_POISON2　毒泡弾大ハイライト
[38,256,464,64,48,32,32],//DT_BIG_BUBBLE_BLOOD2　血泡弾大ハイライト
[39,0,208,40,16,24,8],//DT_MID_DROP_WATER
[40,40,208,40,16,24,8],//DT_MID_DROP_OIL_B
[41,80,208,40,16,24,8],//DT_MID_DROP_OIL
[42,120,208,40,16,24,8],//DT_MID_DROP_POISON
[43,160,208,40,16,24,8],//DT_MID_DROP_BLOOD
[44,0,224,32,16,24,8],//DT_MINI_DROP_WATER
[45,32,224,32,16,24,8],//DT_MINI_DROP_OIL_B
[46,64,224,32,16,24,8],//DT_MINI_DROP_OIL
[47,96,224,32,16,24,8],//DT_MINI_DROP_POISON
[48,128,224,32,16,24,8],//DT_MINI_DROP_BLOOD
[49,0,0,0,0,0,0],//DT_
[50,144,32,48,48,24,24],//DT_ONMYO_RED 陰陽玉赤
[51,192,32,48,48,24,24],//DT_ONMYO_PURPLE 陰陽玉紫
[52,240,32,48,48,24,24],//DT_ONMYO_YELLOW　陰陽玉黄色
[53,288,32,48,48,24,24],//DT_ONMYO_BLUE　陰陽玉青
[54,72,280,8,8,4,4],//DT_PARTICLE_POISON 毒粒子
[55,80,280,16,8,12,4],//DT_DROP_POISON 毒滴
[56,0,224,32,16,24,8],//DT_MINI_DROP_WATER　小水敵弾
[57,32,224,32,16,24,8],//DT_MINI_DROP_OIL_B　小油滴弾　黒
[58,64,224,32,16,24,8],//DT_MINI_DROP_OIL　小油滴弾　茶
[59,96,224,32,16,24,8],//DT_MINI_DROP_POISON　小毒滴弾
[60,128,224,32,16,24,8],//DT_MINI_DROP_BLOOD　小血滴弾
[61,160,248,32,32,16,16],//DT_MID_BUBBLE_D_BLOOD 暗血泡弾中サイズ
[62,384,248,32,32,16,16],//DT_MID_BUBBLE_D_BLOOD2 暗血粟弾中ハイライト
];//,,,,,,,
